"ФО геополигон";"ФО"
"[[[43.655105,40.702984],[43.67894,40.716539],[43.71571,40.6753],[43.741226,40.700794],[43.749356,40.757599],[43.79416,40.72258],[43.829985,40.755485],[43.874127,40.766618],[43.880377,40.786025],[43.914647,40.790475],[43.922612,40.83751],[43.947036,40.863399],[43.94394,40.889283],[44.020274,40.935161],[44.02571,40.920545],[44.068113,40.925945],[44.080742,40.909842],[44.090222,40.927149],[44.103275,40.891894],[44.142681,40.890657],[44.141242,40.954456],[44.112803,41.026591],[44.111843,41.061884],[44.093849,41.084868],[44.106946,41.121953],[44.123504,41.126385],[44.115517,41.153787],[44.097866,41.148815],[44.10481,41.172784],[44.087314,41.168983],[44.094737,41.264666],[44.084554,41.291069],[44.06131,41.300182],[44.067684,41.27449],[44.046744,41.287552],[44.012052,41.258125],[44.016598,41.274666],[44.000581,41.284313],[44.013933,41.286047],[44.019989,41.301012],[44.011323,41.304002],[44.02747,41.320479],[44.002742,41.296683],[44.00766,41.311758],[43.979444,41.315624],[43.977553,41.359428],[43.993513,41.351455],[43.982225,41.379249],[44.008072,41.352168],[44.00996,41.370558],[43.980979,41.406439],[44.000574,41.430885],[44.004193,41.480752],[44.04973,41.478654],[44.054851,41.485206],[44.041398,41.545317],[44.098249,41.551841],[44.11938,41.641874],[44.189118,41.710789],[44.273115,41.740428],[44.33445,41.689022],[44.363504,41.592727],[44.37413,41.598778],[44.377674,41.633808],[44.406774,41.628914],[44.409203,41.694383],[44.455007,41.707146],[44.460755,41.736329],[44.484268,41.731117],[44.499609,41.701821],[44.48998,41.65102],[44.525438,41.638796],[44.516691,41.590499],[44.618362,41.551167],[44.596787,41.494481],[44.709528,41.427901],[44.738322,41.559601],[44.761441,41.564658],[44.765987,41.594786],[44.793851,41.584568],[44.799816,41.615014],[44.826614,41.605221],[44.849962,41.632569],[44.906617,41.63981],[44.906248,41.652973],[44.986278,41.654211],[44.994493,41.445779],[45.063299,41.406085],[45.099372,41.350409],[45.187641,41.36638],[45.18798,41.354149],[45.223227,41.349237],[45.223348,41.29645],[45.264007,41.278546],[45.232636,41.260626],[45.232941,41.232702],[45.22403,41.232331],[45.225405,41.035238],[45.278745,41.035691],[45.281238,41.021284],[45.305303,41.023144],[45.335715,40.991799],[45.379043,41.007192],[45.377088,40.991644],[45.395203,40.99226],[45.391213,40.974752],[45.41564,40.968156],[45.421444,40.980477],[45.446497,40.922938],[45.517387,40.926267],[45.517101,40.845541],[45.693219,40.84878],[45.694874,40.964446],[45.714009,40.977497],[45.713311,41.007136],[45.692254,41.029243],[45.692945,41.053164],[45.675446,41.053195],[45.674232,41.167236],[45.758703,41.170466],[45.758017,41.269542],[45.794488,41.271314],[45.830166,41.233432],[45.862841,41.259265],[45.879907,41.246154],[45.87969,41.161461],[45.951525,41.160635],[45.952955,41.392134],[45.997307,41.391674],[46.006368,41.495095],[45.991533,41.502948],[45.977005,41.62462],[45.968192,42.064997],[45.965703,42.082143],[45.932326,42.079335],[45.941953,42.145554],[46.039189,42.163497],[46.041813,42.176251],[46.113112,42.171255],[46.13613,42.321987],[45.968603,42.31824],[46.008386,42.557357],[46.089482,42.671572],[46.091632,42.738312],[46.177127,42.861975],[46.190315,42.839338],[46.202079,42.85037],[46.237009,42.932252],[46.172758,42.996658],[46.096349,43.300356],[46.031304,43.365714],[45.997595,43.425649],[45.978619,43.569813],[45.98957,43.593152],[45.978125,43.606152],[45.990677,43.621196],[45.978864,43.645105],[45.982899,43.721928],[45.956925,43.811539],[45.946592,43.916358],[45.903555,43.922546],[45.877902,44.008299],[45.804899,44.066755],[45.798027,44.090918],[45.692237,44.126887],[45.643887,44.171439],[45.599306,44.23604],[45.589618,44.274936],[45.552009,44.318259],[45.553489,44.363582],[45.502576,44.471712],[45.50579,44.577841],[45.480665,44.59503],[45.464192,44.631823],[45.434738,44.74584],[45.427416,44.79648],[45.437613,44.830405],[45.403989,44.89291],[45.386459,44.89653],[45.291334,45.178206],[45.125348,45.590739],[44.996917,45.715398],[44.977854,45.703983],[44.968367,45.786775],[44.992521,45.814582],[44.980503,45.97162],[44.989715,45.985598],[44.963341,46.078026],[44.969451,46.119062],[44.957592,46.197753],[44.9728,46.230864],[44.941996,46.355801],[44.935686,46.50494],[44.862342,46.634146],[44.861075,46.675117],[44.826043,46.770877],[44.798947,46.755466],[44.761118,46.820474],[44.7687,46.837519],[44.806769,46.809959],[44.803791,46.928079],[44.767843,47.004971],[44.66221,47.038726],[44.600402,46.940187],[44.533552,46.935179],[44.525801,47.023627],[44.489116,47.121876],[44.437056,47.195099],[44.375927,47.234593],[44.347377,47.336285],[44.409696,47.279038],[44.479493,47.269242],[44.553998,47.302754],[44.616518,47.381299],[44.638849,47.450511],[44.647353,47.547898],[44.632456,47.625767],[44.602356,47.683585],[44.536146,47.737061],[44.450382,47.746803],[44.387723,47.731837],[44.33589,47.69063],[44.299653,47.624271],[44.284349,47.532888],[44.295647,47.451423],[44.334913,47.358337],[44.265712,47.428382],[44.160539,47.471789],[44.110068,47.519102],[44.136688,47.583436],[44.148627,47.661253],[44.131556,47.927826],[44.107542,47.990328],[44.07068,48.038111],[43.973563,48.076029],[43.889287,48.040185],[43.767105,47.853492],[43.661275,47.781507],[43.556618,47.767059],[43.494601,47.721339],[43.434906,47.703392],[43.330456,47.759633],[43.235302,47.756716],[43.187863,47.737104],[43.133486,47.687607],[43.087136,47.677249],[42.945397,47.876353],[42.870217,47.911649],[42.743783,47.923099],[42.717181,47.991884],[42.666583,48.059566],[42.48633,48.175427],[42.418827,48.268758],[42.236946,48.404998],[42.184827,48.471424],[42.065434,48.532912],[42.045942,48.600938],[41.994158,48.688056],[41.919002,48.77099],[41.863856,48.796485],[41.840886,48.588877],[41.781141,48.55541],[41.674836,48.44023],[41.593972,48.384287],[41.564769,48.296513],[41.508574,48.215474],[41.513533,48.165104],[41.492109,48.098414],[41.5041,48.078621],[41.49711,48.058991],[41.458428,48.064579],[41.435691,48.010955],[41.372438,48.000788],[41.353472,47.98228],[41.361855,47.962276],[41.351097,47.95017],[41.320433,47.968634],[41.289556,47.8912],[41.254977,47.911027],[41.219585,47.884865],[41.221513,47.815089],[41.187446,47.785392],[41.187465,47.747418],[41.226319,47.700638],[41.223187,47.650928],[41.238723,47.61961],[41.217306,47.610868],[41.217093,47.576496],[41.198855,47.55819],[41.227614,47.50393],[41.267852,47.499506],[41.256637,47.472747],[41.273879,47.45321],[41.272441,47.374246],[41.337893,47.258144],[41.351965,47.271027],[41.395173,47.259677],[41.40084,47.21814],[41.44634,47.24169],[41.44562,47.21798],[41.48855,47.19237],[41.4985,47.15866],[41.53008,47.17259],[41.55097,47.12993],[41.59461,47.11305],[41.57147,47.06748],[41.55592,47.0665],[41.56459,47.0322],[41.55643,47.01749],[41.577394,47.022361],[41.59924,46.99098],[41.62634,47.00882],[41.64116,46.99951],[41.678008,46.926606],[41.72667,46.91304],[41.71942,46.86464],[41.7605,46.83055],[41.77314,46.79199],[41.80077,46.76604],[41.81588,46.78327],[41.86198,46.75819],[41.8472,46.71675],[41.82779,46.72034],[41.834526,46.625424],[41.8029,46.58244],[41.88015,46.53677],[41.88903,46.50877],[41.88162,46.48003],[41.91353,46.42481],[41.914222,46.400464],[41.929197,46.400732],[41.929381,46.365972],[41.945165,46.345607],[41.93036,46.32149],[41.94598,46.2839],[41.9829,46.26285],[41.98154,46.24689],[42.0077,46.2525],[42.01595,46.22407],[41.98985,46.15893],[42.01123,46.1489],[41.98639,46.10751],[42.04071,46.07458],[42.021555,46.041348],[42.04222,46.02146],[42.04459,45.98708],[42.02423,45.95506],[42.03251,45.93003],[42.05483,45.93189],[42.06428,45.913054],[42.08083,45.92243],[42.10448,45.90065],[42.11622,45.80629],[42.10197,45.78819],[42.1263,45.77086],[42.13157,45.74088],[42.14894,45.74713],[42.2121,45.6098],[42.25394,45.61918],[42.29221,45.65402],[42.28254,45.67285],[42.2899,45.72311],[42.3079,45.754],[42.37425,45.73578],[42.44696,45.78126],[42.488765,45.774251],[42.476536,45.711483],[42.5061,45.68321],[42.50546,45.613761],[42.548276,45.57145],[42.535146,45.493634],[42.551413,45.418664],[42.522305,45.341128],[42.56521,45.325483],[42.575089,45.295447],[42.606046,45.283625],[42.606144,45.255501],[42.639848,45.238265],[42.70742,45.158387],[42.711819,45.08689],[42.69299,45.03555],[42.74518,44.97865],[42.75042,44.94889],[42.74638,44.88641],[42.69261,44.86818],[42.67274,44.83486],[42.616051,44.827723],[42.61517,44.801998],[42.642326,44.767783],[42.71392,44.751744],[42.743867,44.712591],[42.756743,44.678035],[42.74563,44.58102],[42.76694,44.55188],[42.75356,44.511081],[42.736799,44.500191],[42.697305,44.51931],[42.72065,44.41683],[42.704935,44.392277],[42.722774,44.317241],[42.6804,44.2499],[42.627136,44.232746],[42.63243,44.1946],[42.60605,44.161818],[42.61668,44.10888],[42.59783,44.02492],[42.547,43.96464],[42.5964,43.8427],[42.58905,43.76984],[42.61649,43.75511],[42.63441,43.71493],[42.67731,43.77874],[42.71658,43.8066],[42.74205,43.8055],[42.78062,43.70012],[42.80262,43.68551],[42.79637,43.64932],[42.81097,43.63689],[42.81299,43.61119],[42.83595,43.61013],[42.867147,43.560208],[42.867812,43.508091],[42.89329,43.44611],[42.889731,43.335956],[42.91384,43.31933],[42.90768,43.30164],[42.92016,43.28672],[42.9366,43.18912],[42.96255,43.17449],[43.02966,43.03579],[43.07097,43.01779],[43.08998,43.04368],[43.11851,42.9919],[43.12568,42.92629],[43.14846,42.93251],[43.15646,42.88165],[43.17824,42.86064],[43.16751,42.81294],[43.18873,42.77654],[43.17365,42.68418],[43.134394,42.66873],[43.16327,42.61892],[43.17717,42.54493],[43.21364,42.45807],[43.25206,42.44227],[43.25677,42.41627],[43.24556,42.35731],[43.22011,42.34045],[43.21214,42.26265],[43.22855,42.24719],[43.23043,42.21491],[43.21732,42.18275],[43.22494,42.16563],[43.21119,42.13155],[43.21391,42.09487],[43.18811,42.04426],[43.21825,42.01712],[43.203844,41.955979],[43.22642,41.94305],[43.22802,41.90904],[43.2521,41.88714],[43.24174,41.86431],[43.21291,41.85022],[43.20273,41.80782],[43.24373,41.72917],[43.21958,41.70163],[43.23745,41.66181],[43.2231,41.61988],[43.30617,41.46735],[43.31392,41.42426],[43.3545,41.4161],[43.36671,41.3919],[43.37077,41.36482],[43.346952,41.338468],[43.33773,41.29022],[43.36126,41.2742],[43.359,41.24428],[43.38221,41.21957],[43.383917,41.167273],[43.40397,41.15248],[43.4034,41.10632],[43.3857,41.09679],[43.38747,41.07387],[43.43228,41.00318],[43.425081,40.935333],[43.444491,40.930326],[43.458054,40.892519],[43.48896,40.89374],[43.488692,40.827854],[43.532616,40.713828],[43.603689,40.742635]]]";"Северо-Кавказский федеральный округ"
"[[[45.184081,32.867565],[45.186062,32.797623],[45.134616,32.647456],[45.197432,32.393359],[45.355279,32.303736],[45.513524,32.339947],[45.625649,32.474158],[45.832665,32.899091],[45.93668,33.237308],[45.92743,33.489739],[46.069709,33.592563],[46.123867,33.599388],[46.140495,33.63739],[46.226264,33.614238],[46.229218,33.646123],[46.185256,33.738369],[46.199504,33.84864],[46.066963,34.183296],[46.057434,34.340644],[45.943473,34.477073],[45.992973,34.560264],[45.985939,34.630001],[45.902327,34.801963],[45.804688,34.79986],[45.765733,34.958303],[45.816276,35.156586],[45.557109,35.410818],[45.468551,35.535447],[45.483875,35.592357],[45.608875,35.715938],[45.64617,35.794693],[45.648333,35.899139],[45.602534,35.990372],[45.642801,36.107657],[45.663695,36.344272],[45.609882,36.639499],[45.535969,36.752476],[45.59294,36.797941],[45.59683,36.868687],[45.47959,37.237913],[45.497777,37.392276],[45.656307,37.397252],[45.744621,37.442671],[45.865697,37.671519],[46.042596,37.741835],[46.121625,37.808331],[46.224268,38.04314],[46.232634,37.903285],[46.311185,37.763825],[46.413042,37.6669],[46.585229,37.5727],[46.639082,37.474139],[46.716801,37.401375],[46.870065,37.684513],[46.781442,37.894627],[46.776648,37.959249],[46.962015,38.267045],[47.229049,38.232147],[47.257476,38.325538],[47.306243,38.335968],[47.305084,38.220977],[47.363731,38.244895],[47.391395,38.302227],[47.544319,38.28477],[47.575817,38.310726],[47.575607,38.351127],[47.616676,38.350502],[47.616954,38.457084],[47.644149,38.456836],[47.644725,38.616329],[47.669868,38.665439],[47.69952,38.66196],[47.685718,38.77246],[47.815792,38.789161],[47.818599,38.828681],[47.865093,38.838172],[47.869739,39.083225],[47.851776,39.083095],[47.842536,39.149757],[47.871212,39.387443],[47.831707,39.411983],[47.860267,39.477912],[47.825016,39.542671],[47.827629,39.737613],[47.871467,39.762813],[47.871124,39.794799],[47.95565,39.824874],[48.039875,39.776165],[48.046081,39.883106],[48.066986,39.834053],[48.07909,39.869125],[48.228576,39.942226],[48.232318,40.004585],[48.268924,40.016883],[48.317062,39.99057],[48.269733,39.915573],[48.309048,39.887041],[48.309593,39.840947],[48.33273,39.845462],[48.354316,39.947276],[48.447261,39.898395],[48.473438,39.84666],[48.569206,39.84885],[48.592929,39.790668],[48.586204,39.687988],[48.609695,39.660903],[48.65541,39.711086],[48.720687,39.704364],[48.766361,39.738582],[48.765457,39.767677],[48.841587,39.798683],[48.792987,39.97575],[48.873432,40.079906],[48.91587,40.035366],[48.868301,39.993167],[48.895687,39.925056],[48.902935,39.838184],[48.88628,39.826831],[48.922203,39.775356],[48.986236,39.752536],[48.975563,39.726932],[49.00053,39.664157],[49.0405,39.672294],[49.056335,39.938049],[49.179716,40.031129],[49.187034,40.077224],[49.239819,40.137251],[49.249943,40.22134],[49.281237,40.185948],[49.346145,40.194756],[49.453621,40.029271],[49.520743,40.038821],[49.569046,40.169235],[49.616977,40.135265],[49.642756,40.161353],[49.628262,40.278385],[49.587368,40.375107],[49.578121,40.535769],[49.630043,40.588902],[49.637438,40.639202],[49.645738,40.617945],[49.67243,40.639964],[49.667279,40.779417],[49.701402,40.797018],[49.700839,40.921806],[49.80143,41.041919],[49.946309,41.083926],[50.011486,41.192484],[50.021169,41.297974],[50.081541,41.384558],[50.12813,41.372822],[50.163249,41.289185],[50.214253,41.350909],[50.202852,41.401433],[50.227679,41.382019],[50.362721,41.522347],[50.500732,41.420411],[50.563845,41.486619],[50.574034,41.539075],[50.608988,41.517291],[50.606319,41.447799],[50.748953,41.27749],[50.776023,41.170486],[50.842047,41.392559],[50.832007,41.420391],[50.917199,41.427638],[50.950281,41.471398],[50.948309,41.529149],[51.017165,41.777332],[51.131621,41.830606],[51.193945,41.927517],[51.135987,42.174161],[51.16101,42.422867],[51.145218,42.435605],[51.144839,42.554758],[51.247787,42.706204],[51.244442,42.856334],[51.111833,43.192293],[50.998711,43.358413],[51.050065,43.512558],[51.057431,43.669613],[51.098421,43.693831],[51.11968,43.672232],[51.12036,43.787331],[51.09791,43.846574],[51.160221,43.920224],[51.158637,44.020387],[51.071984,44.018427],[51.072114,44.052668],[51.102883,44.060079],[51.099604,44.095797],[51.125556,44.116999],[51.093215,44.183492],[51.199918,44.223387],[51.174621,44.34451],[51.206901,44.496932],[51.121663,44.589787],[51.12827,44.628079],[51.165861,44.609596],[51.179132,44.640227],[51.149814,44.758189],[51.17122,44.864712],[51.162865,44.898152],[51.117685,44.896154],[51.106641,44.936686],[51.145999,44.995674],[51.119497,45.070091],[51.079096,45.082568],[51.040126,45.219511],[50.968896,45.204285],[50.933917,45.259789],[50.934975,45.225553],[50.913915,45.303028],[50.850667,45.323459],[50.719079,45.278338],[50.710471,45.184995],[50.69946,45.233948],[50.585121,45.193452],[50.59079,45.385468],[50.612561,45.409999],[50.604334,45.489679],[50.550562,45.535123],[50.590281,45.567062],[50.578327,45.698321],[50.681306,45.68036],[50.757599,45.746408],[50.758469,45.831439],[50.746938,45.895402],[50.68725,45.990555],[50.688608,46.034836],[50.66469,46.035669],[50.665259,46.092518],[50.526367,46.064084],[50.526239,46.277574],[50.573353,46.279345],[50.546384,46.42251],[50.550893,46.49417],[50.558972,46.453809],[50.616682,46.459126],[50.633406,46.490776],[50.616694,46.492467],[50.621894,46.523839],[50.643825,46.536286],[50.614637,46.568252],[50.712907,46.583594],[50.682318,46.62062],[50.711478,46.71921],[50.656687,46.745561],[50.643268,46.856876],[50.574407,46.800163],[50.576899,46.868776],[50.522436,46.86863],[50.522542,46.909331],[50.489575,46.911487],[50.509462,47.207427],[50.371309,47.236647],[50.377158,47.432649],[50.335003,47.404373],[50.331316,47.339811],[50.304033,47.301618],[50.237486,47.335349],[50.191325,47.257596],[50.09742,47.352291],[50.067805,47.324818],[49.934498,47.182025],[49.863638,46.902626],[49.338251,46.781129],[49.235847,46.992782],[49.138745,47.043246],[49.025957,46.96979],[48.951557,46.779398],[48.432486,46.493078],[48.268341,47.123269],[48.21032,47.102817],[48.158361,47.124729],[48.103373,47.090826],[48.082256,47.211133],[48.054185,47.199806],[48.060924,47.158903],[47.996796,47.050663],[47.854059,47.180584],[47.831373,47.122825],[47.760293,47.195888],[47.681249,47.38711],[47.837563,47.415268],[47.757666,47.652462],[47.755464,48.032228],[47.740898,48.121039],[47.691416,48.210706],[47.412535,48.450433],[47.411603,48.520189],[47.096039,48.709855],[46.880402,48.914098],[46.744633,48.996893],[46.693771,48.921573],[46.6864,48.750485],[46.720976,48.712722],[46.731061,48.64904],[46.705559,48.615314],[46.711601,48.548445],[46.688591,48.552388],[46.670588,48.478067],[46.642543,48.559522],[46.609468,48.565924],[46.603303,48.622856],[46.585877,48.557272],[46.558611,48.546731],[46.563017,48.70286],[46.541943,48.786692],[46.480102,48.82721],[46.479914,48.881373],[46.392975,49.053525],[46.377904,49.178803],[46.295492,49.263764],[46.198059,49.498758],[46.180415,49.663383],[46.115333,49.615993],[46.057353,49.755762],[45.962165,49.8107],[45.844229,49.753441],[45.780823,49.655421],[45.77043,49.508315],[45.838562,49.370247],[45.743903,49.270756],[45.725872,49.085596],[45.660979,49.045634],[45.615004,48.959782],[45.520648,48.911758],[45.457985,48.790447],[45.441145,48.599567],[45.491562,48.480238],[45.50608,48.303066],[45.536572,48.219849],[45.411878,48.19377],[45.338877,48.104286],[45.269388,48.189621],[45.178192,48.201379],[45.099322,48.137942],[45.066765,48.071785],[45.056871,47.965749],[45.086053,47.865933],[45.16068,47.792297],[45.244488,47.786343],[45.294049,47.62783],[45.192723,47.691706],[45.088238,47.685989],[45.002795,47.587189],[44.985001,47.446002],[44.906965,47.519118],[44.745769,47.529623],[44.665865,47.454008],[44.635387,47.32823],[44.682045,47.177584],[44.66221,47.038726],[44.767843,47.004971],[44.809645,46.91059],[44.809543,46.82267],[44.761465,46.819376],[44.798947,46.755466],[44.826043,46.770877],[44.862342,46.634146],[44.935686,46.50494],[44.9728,46.230864],[44.963341,46.078026],[44.989715,45.985598],[44.977854,45.703983],[44.996917,45.715398],[45.125348,45.590739],[45.386459,44.89653],[45.437613,44.830405],[45.434738,44.74584],[45.464192,44.631823],[45.50579,44.577841],[45.502576,44.471712],[45.552009,44.318259],[45.643887,44.171439],[45.798027,44.090918],[45.877902,44.008299],[45.903555,43.922546],[45.946592,43.916358],[45.982899,43.721928],[45.997595,43.425649],[46.096349,43.300356],[46.172758,42.996658],[46.237009,42.932252],[46.202079,42.85037],[46.177127,42.861975],[46.091632,42.738312],[46.089482,42.671572],[46.008386,42.557357],[45.968603,42.31824],[46.13613,42.321987],[46.113112,42.171255],[45.941953,42.145554],[45.932326,42.079335],[45.968192,42.064997],[45.977005,41.62462],[46.006368,41.495095],[45.997307,41.391674],[45.952955,41.392134],[45.951525,41.160635],[45.87969,41.161461],[45.862841,41.259265],[45.830166,41.233432],[45.758017,41.269542],[45.758703,41.170466],[45.674232,41.167236],[45.675446,41.053195],[45.713311,41.007136],[45.693219,40.84878],[45.517101,40.845541],[45.517387,40.926267],[45.446497,40.922938],[45.379043,41.007192],[45.335715,40.991799],[45.225405,41.035238],[45.22403,41.232331],[45.264007,41.278546],[45.223348,41.29645],[45.223227,41.349237],[45.099372,41.350409],[44.994493,41.445779],[44.986278,41.654211],[44.765987,41.594786],[44.709528,41.427901],[44.596787,41.494481],[44.618362,41.551167],[44.516691,41.590499],[44.525438,41.638796],[44.48998,41.65102],[44.484268,41.731117],[44.409203,41.694383],[44.406774,41.628914],[44.377674,41.633808],[44.363504,41.592727],[44.33445,41.689022],[44.274251,41.739959],[44.189757,41.711177],[44.119142,41.64158],[44.097939,41.551489],[44.041398,41.545317],[44.054851,41.485206],[44.004193,41.480752],[43.980995,41.405692],[44.009201,41.353798],[43.987203,41.38219],[43.993513,41.351455],[43.977515,41.359114],[44.001651,41.297355],[44.02747,41.320479],[44.000581,41.284313],[44.012529,41.257676],[44.067684,41.27449],[44.06131,41.300182],[44.094737,41.264666],[44.087314,41.168983],[44.123504,41.126385],[44.093849,41.084868],[44.142681,40.890657],[44.020274,40.935161],[43.94394,40.889283],[43.914647,40.790475],[43.79416,40.72258],[43.749356,40.757599],[43.71571,40.6753],[43.60485,40.742492],[43.532616,40.713828],[43.56374,40.6637],[43.519069,40.564587],[43.586311,40.259461],[43.568343,40.103556],[43.384775,40.011061],[43.250264,39.900126],[43.307326,39.779063],[43.406116,39.702424],[43.471779,39.569191],[43.83538,39.14218],[44.040742,38.843298],[44.08431,38.731399],[44.158741,38.651022],[44.288229,38.103064],[44.419274,37.949057],[44.504863,37.778289],[44.524916,37.544479],[44.572075,37.367355],[44.677036,37.212181],[44.881696,37.088968],[44.958938,36.859019],[44.993715,36.600126],[44.93112,36.53378],[44.882559,36.409075],[44.849016,36.236785],[44.867814,36.071177],[44.818922,35.839958],[44.83783,35.756793],[44.926405,35.659647],[44.946927,35.592567],[44.804726,35.492849],[44.745733,35.292329],[44.626456,35.150476],[44.63115,34.762318],[44.560247,34.562037],[44.406124,34.45678],[44.328436,34.276766],[44.262,34.193663],[44.213142,33.994546],[44.207636,33.726551],[44.342344,33.396327],[44.424169,33.282026],[44.514462,33.212382],[44.652597,33.212435],[44.726245,33.268695],[44.765965,33.356341],[44.976753,33.416852],[44.999762,33.391624],[44.967028,33.286368],[44.98157,33.191091]],[[44.966141,46.17769],[44.966203,46.180888],[44.966796,46.182021],[44.967646,46.176551]],[[44.966273,46.183113],[44.966547,46.183735],[44.967061,46.182807],[44.96668,46.182604]]]";"Южный федеральный округ"
